url,property_id,price,rooms,area,state,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,build_year,cellar,has_garage,kitchen_surface_house,bathrooms,heating_type,terrace_surface_apartment,land_surface_house,sewer_connection,running_water,primary_energy_consumption,co2_house,certification_electrical_installation,preemption_right,flooding_area_type,leased,living_room_surface,attic_house,glazing_type,elevator,entry_phone_apartment,access_disabled,apartement_floor_apartment,number_floors_apartment,toilets,cadastral_income_house,property_subtype,postal_code,locality,property_type,municipality_nl,municipality_fr,arrondissement_nl,arrondissement_fr,province_nl,province_fr,median_income,region,address,province,apt_avg_m2_province,house_avg_m2_province,apt_avg_m2_region,house_avg_m2_region,province_benchmark_m2,region_benchmark_m2,national_benchmark_m2
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu70077,rbu70077,229900.0,2.0,73.0,2,-1.0,0,1,0,-1,-1,1958.0,-1,1,-1.0,1.0,3,4.0,-1.0,-1,-1,286.0,-1.0,1,-1,-1,0,35.0,-1.0,-1,0.0,-1.0,-1,2.0,2.0,1.0,622.0,apartment,2170,merksem,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Jozef Mulsstraat 51 2170 Merksem,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2020/antwerp/rbu70096,rbu70096,315000.0,2.0,91.0,-1,-1.0,-1,1,0,-1,-1,1958.0,-1,-1,-1.0,1.0,-1,40.0,-1.0,-1,-1,-1.0,-1.0,-1,0,1,0,-1.0,-1.0,1,1.0,-1.0,0,0.0,5.0,1.0,-1.0,apartment,2020,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Camille Huysmanslaan 50 001 2020 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu70079,rbu70079,229900.0,2.0,73.0,2,-1.0,0,1,0,-1,-1,1958.0,-1,1,-1.0,1.0,3,4.0,-1.0,-1,-1,286.0,-1.0,1,-1,-1,0,35.0,-1.0,-1,0.0,-1.0,-1,2.0,2.0,1.0,622.0,apartment,2170,merksem,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Jozef Mulsstraat 51 2170 Merksem,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu69996,rbu69996,259000.0,3.0,97.0,2,3.0,0,1,0,-1,-1,1963.0,-1,-1,-1.0,1.0,3,3.0,-1.0,-1,1,198.0,-1.0,0,0,-1,0,-1.0,-1.0,-1,1.0,-1.0,-1,2.0,3.0,1.0,944.0,apartment,2100,deurne,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Ergo-de Waellaan 5 2 2100 Deurne,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/ground-floor/for-sale/2170/merksem/rbu69974,rbu69974,299000.0,2.0,100.0,3,3.0,0,1,1,-1,-1,-1.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,185.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,apartment,2170,merksem,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Bredabaan 792 2 2170 Merksem,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu69969,rbu69969,235000.0,1.0,51.0,2,2.0,0,0,1,-1,-1,1975.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,1,247.0,-1.0,1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,3.0,6.0,1.0,498.0,apartment,2018,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Mercatorstraat 132 A301 2018 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu69995,rbu69995,439000.0,2.0,83.0,2,3.0,0,1,0,-1,-1,2010.0,-1,-1,-1.0,1.0,3,4.0,-1.0,-1,1,125.0,-1.0,1,0,-1,0,-1.0,-1.0,-1,1.0,-1.0,-1,10.0,22.0,1.0,-1.0,apartment,2000,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Londenstraat 60 V10 101 2000 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu69762,rbu69762,119000.0,-1.0,34.0,0,4.0,-1,1,0,-1,-1,1965.0,-1,-1,4.0,1.0,3,-1.0,-1.0,-1,1,300.0,-1.0,-1,-1,1,0,26.0,-1.0,0,1.0,-1.0,-1,3.0,4.0,1.0,632.0,apartment,2018,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Zonnewijzerstraat 20 304 2018 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu69436,rbu69436,289000.0,2.0,123.0,2,-1.0,0,1,0,-1,-1,1975.0,-1,-1,-1.0,2.0,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,0,0,1,0,-1.0,-1.0,-1,1.0,-1.0,-1,7.0,-1.0,2.0,2320.0,apartment,2600,berchem,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu69438,rbu69438,309000.0,3.0,117.0,3,2.0,0,1,0,-1,-1,-1.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,1,143.0,-1.0,-1,-1,1,0,-1.0,-1.0,-1,0.0,-1.0,-1,2.0,-1.0,1.0,-1.0,apartment,2170,merksem,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu69386,rbu69386,289000.0,3.0,101.0,-1,-1.0,-1,0,0,-1,-1,1927.0,-1,-1,-1.0,1.0,3,-1.0,-1.0,-1,-1,181.0,-1.0,-1,0,1,0,-1.0,-1.0,1,0.0,-1.0,0,2.0,3.0,1.0,-1.0,apartment,2140,borgerhout,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Bakkerstraat 28 201 2140 Borgerhout,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu69390,rbu69390,575000.0,4.0,195.0,-1,-1.0,-1,1,0,-1,-1,1981.0,-1,-1,-1.0,2.0,-1,10.0,-1.0,-1,-1,126.0,-1.0,-1,0,1,0,-1.0,-1.0,-1,1.0,-1.0,0,2.0,8.0,-1.0,-1.0,apartment,2018,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Maria-Theresialei 11 13 2018 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu60893,rbu60893,225000.0,1.0,55.0,2,2.0,0,1,0,-1,-1,2017.0,-1,1,-1.0,1.0,3,-1.0,-1.0,-1,-1,48.0,-1.0,1,-1,-1,0,-1.0,-1.0,-1,0.0,-1.0,-1,3.0,10.0,1.0,707.0,apartment,2140,borgerhout,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Buurtspoorweglei 16 302 2140 Borgerhout,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu60790,rbu60790,395000.0,2.0,100.0,-1,-1.0,-1,1,0,-1,-1,-1.0,-1,-1,-1.0,1.0,-1,15.0,-1.0,-1,-1,234.0,-1.0,-1,-1,1,0,-1.0,-1.0,1,0.0,-1.0,0,0.0,4.0,1.0,-1.0,apartment,2000,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,Welvaartstraat 54 A 001 2000 Antwerp,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2600/berchem/rbu69385,rbu69385,349000.0,2.0,115.0,-1,-1.0,-1,1,0,-1,-1,1970.0,-1,-1,-1.0,-1.0,2,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,1,0,-1.0,-1.0,1,0.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,apartment,2600,berchem,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu60750,rbu60750,375000.0,2.0,107.0,2,-1.0,0,1,0,-1,-1,2021.0,0,-1,-1.0,1.0,-1,30.0,-1.0,-1,-1,-1.0,-1.0,-1,0,1,-1,-1.0,0.0,-1,1.0,-1.0,0,1.0,-1.0,-1.0,1115.0,apartment,2050,antwerp,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu60742,rbu60742,199900.0,2.0,60.0,2,-1.0,0,1,0,-1,-1,1957.0,-1,-1,-1.0,1.0,3,3.0,-1.0,-1,-1,292.0,-1.0,1,-1,-1,0,28.0,-1.0,-1,0.0,-1.0,-1,2.0,2.0,1.0,-1.0,apartment,2100,deurne,Apartment,Antwerpen,Anvers,Arrondissement Antwerpen,Arrondissement d’Anvers,Provincie Antwerpen,Province d’Anvers,23.986,Flanders,,Provincie Antwerpen,2849,2419,3133,2266,2849,3133,3091
